"maxVal"	"cluster"	"correct"	"trueCluster"	"B2M.CD70.PD1.FAS.COM"	"BCL2.COMP"	"TP53.BIALLELIC"	"PI3K.MOD"	"BLC10.NOTCH2.A20.SPEN"	"CHROM.MOD.ENZYMES"	"HIST.COMP"	"NFKBALT.RASALT.JAK.STAT.ALT.RHOA.SGK1.KLH6.CD58.CD83"	"SUMC4.MUT"	"MYD88.L265"	"MYD88.OTHER"	"CD79B.MYD88.TBL1XR1.BLIMP.ETV6.ZC3H12A"	"SV.TP63"	"SV.BCL6"	"X21Q.AMP"	"SUM.CNAS.C2"	"SUMCNAS.C5"	"X2P16.1.AMP"	"X9P21.3.DEL"	"X18Q.AMP"
"dlbcl_ricover_325"	1	3	TRUE	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	7	1	1	1	0
"dlbcl_mc_f959_erm"	0.416506524892673	4	FALSE	3	3	0	2	0	0	2	2	0	2	2	0	2	0	3	0	12	6	2	0	2
"dlbcl_ricover_111"	0.459451713535209	4	FALSE	2	0	0	0	2	2	2	0	0	0	0	0	1	0	0	0	3	2	1	0	1
"dlbcl_c_d_1138_nullpair"	0.497914130427625	4	FALSE	5	0	0	0	4	0	0	4	0	4	0	0	0	0	0	0	3	4	0	0	1
"dlbcl_ricover_506"	0.51322813728002	4	TRUE	4	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	11	5	1	1	1
"dlbcl_ricover_763"	0.517164515451291	4	TRUE	4	0	0	1	0	0	0	0	2	2	0	0	2	0	0	0	9	4	0	0	1
"dlbcl_ls2089"	0.518132193544855	4	FALSE	3	0	0	3	0	0	0	0	0	0	2	0	4	0	0	0	15	5	0	0	2
"dlbcl_ls3809"	0.530000334458015	4	FALSE	1	2	0	0	0	0	0	0	0	0	0	0	4	0	3	1	3	2	0	0	1
"dlbcl_ricover_1165"	0.534452249272766	4	FALSE	3	0	0	3	0	0	2	0	0	0	0	2	2	0	0	0	6	2	0	0	0
"dlbcl_c_d_1108_nullpair"	0.542382594104885	4	FALSE	3	0	0	2	0	0	0	0	0	1	0	0	0	0	0	1	8	6	0	0	1
"dlbcl_ricover_822"	0.546079507642413	4	FALSE	3	0	0	2	0	0	2	2	0	2	0	0	0	0	0	0	10	6	1	1	2
"dlbcl_ls762"	0.559531984330868	4	FALSE	2	0	0	0	0	0	2	0	2	2	0	0	0	0	0	0	0	2	0	0	1
"dlbcl_ricover_431"	0.567491954153437	4	TRUE	4	0	0	0	0	0	0	2	2	8	2	0	4	0	0	0	6	3	0	0	0
"dlbcl_ricover_1204"	0.587924967316673	4	TRUE	4	0	0	0	1	0	2	8	0	10	0	0	6	0	0	0	5	3	0	1	2
"dlbcl_ricover_1060"	0.601425992162095	4	FALSE	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0	0	1
"dlbcl_ricover_1032"	0.607943877405726	4	TRUE	4	0	0	3	0	0	0	2	2	4	2	0	6	0	0	0	11	4	0	0	0
"dlbcl_ricover_105"	0.612978632911219	4	TRUE	4	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	4	3	0	1	1
"dlbcl_ricover_1190"	0.641058373882762	4	TRUE	4	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	2	4	0	0	1
"dlbcl_mc_f339_jps2"	0.643125105670428	4	TRUE	4	5	0	0	0	0	0	1	0	1	0	0	4	0	0	0	2	4	0	0	1
"dlbcl_ricover_850"	0.672301319016489	4	TRUE	4	0	0	0	0	0	0	0	0	2	0	2	6	0	0	1	7	2	1	0	0
"dlbcl_c_d_1163_nullpair"	0.704437379411806	4	TRUE	4	0	0	0	0	0	0	2	2	6	2	0	8	0	0	0	0	2	0	0	0
"dlbcl_dfci_dlbcl_goe05"	0.725462038406854	4	FALSE	3	0	0	3	0	0	2	0	0	0	2	0	2	0	0	1	5	3	0	0	1
"dlbcl_ricover_478"	0.725779804343061	4	FALSE	1	0	0	0	0	2	0	0	0	0	0	2	2	0	0	0	6	4	0	0	1
"dlbcl_ricover_585"	0.738062790844476	4	TRUE	4	3	0	0	0	0	0	0	2	3	2	0	6	0	3	0	5	7	0	1	1
"dlbcl_c_d_1120_nullpair"	0.749322084764725	4	TRUE	4	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	3	2	0	0	1
"dlbcl_ricover_583"	0.750399064551672	4	TRUE	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	5	0	0	1
"dlbcl_ls1683"	0.786098744778926	4	TRUE	4	0	0	2	0	0	2	0	2	2	0	0	2	0	0	0	6	6	1	0	2
"dlbcl_ls4085"	0.798422312908457	4	TRUE	4	0	0	0	0	0	2	0	0	1	0	0	2	0	0	0	4	4	0	0	1
"dlbcl_ricover_1106"	0.806543835125185	4	TRUE	4	0	0	0	0	0	0	4	0	8	2	0	6	0	0	0	5	8	0	0	2
"dlbcl_mc_f089_mlb"	0.809847958957269	4	TRUE	4	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	1	4	0	0	0
"dlbcl_c_d_1144_nullpair"	0.810093040575723	4	TRUE	4	0	0	2	0	0	0	1	2	3	0	0	4	0	0	0	1	3	0	0	1
"dlbcl_ricover_1248"	0.817961439288798	4	TRUE	4	0	0	0	0	2	0	0	2	2	2	0	4	0	3	0	6	9	0	0	2
"dlbcl_ricover_773"	0.820344613435818	4	TRUE	4	0	0	0	0	0	4	0	0	0	2	0	4	0	0	0	4	3	0	0	1
"dlbcl_ls148"	0.842629730416784	4	TRUE	4	0	0	0	0	0	0	0	2	2	0	0	3	0	0	0	2	2	0	0	2
"dlbcl_ricover_685"	0.847306969007551	4	TRUE	4	0	0	0	0	0	0	0	0	2	2	0	8	0	0	0	6	1	0	0	0
"dlbcl_ricover_173"	0.85210878723871	4	TRUE	4	0	0	0	0	0	0	2	0	2	2	0	6	0	0	0	0	0	0	0	0
"dlbcl_c_d_1142_nullpair"	0.86982324464058	4	TRUE	4	0	0	1	0	0	0	0	2	2	0	0	0	0	0	0	3	6	0	0	2
"dlbcl_ricover_467"	0.870809222014558	4	TRUE	4	3	0	3	0	0	2	0	0	0	0	0	6	3	0	0	9	8	0	0	2
"dlbcl_c_d_1104_nullpair"	0.877903466868699	4	TRUE	4	0	0	3	0	0	0	0	0	0	2	0	4	0	0	0	4	3	0	0	1
"dlbcl_ricover_720"	0.916416724702991	4	TRUE	4	0	0	0	0	0	0	0	0	0	2	0	6	0	3	0	6	6	0	0	1
"dlbcl_ls2208"	0.93020116863903	4	TRUE	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0
"dlbcl_ricover_1257"	0.932531456508637	4	TRUE	4	0	0	0	0	0	0	2	0	2	0	0	2	0	0	0	2	5	0	1	2
"dlbcl_ricover_712"	0.940815147430059	4	TRUE	4	0	0	0	0	0	0	2	0	2	0	0	2	0	0	0	2	5	0	0	1
"dlbcl_ricover_134"	0.944561075794829	4	TRUE	4	0	0	1	0	0	2	0	2	2	2	0	4	0	0	0	5	8	0	0	2
"dlbcl_ls1304"	0.964860596232381	4	TRUE	4	0	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	2	0	0	0
"dlbcl_ricover_543"	0.972612109194004	4	TRUE	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	0	0	1
"dlbcl_ricover_417"	0.981573374961742	4	TRUE	4	0	0	0	0	0	0	0	0	0	2	0	6	3	0	0	4	3	0	0	1
"dlbcl_ricover_1287"	0.999997843998943	4	TRUE	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	1
"dlbcl_ricover_224"	0.99999997350501	4	TRUE	4	0	0	0	2	0	0	0	0	0	0	0	4	0	0	0	3	4	0	0	0
"dlbcl_c_d_1125_nullpair"	1	4	TRUE	4	0	1	0	0	0	0	0	0	2	2	0	6	0	0	0	3	6	0	0	1
