"maxVal"	"cluster"	"correct"	"trueCluster"	"SV.TP63"	"SV.BCL6"	"BLC10.NOTCH2.A20.SPEN"	"B2M.CD70.PD1.FAS.com"	"X21Q.AMP"	"GENOME_DOUBLING"	"Sum.CNAs.C2"	"TP53.biallelic"	"BCL2.comp"	"Chrom.Mod.Enzymes"	"Pi3K.Mod"	"Hist.comp"	"NFKBalt.RASalt.JAK.STAT.alt.RHOA.SGK1.KLH6.cd58.cd83"	"SumC4.mut"	"X18Q.AMP"	"MYD88.L265"	"sumCNAs.C5"	"MYD88.OTHER"	"X2P16.1.AMP"	"CD79B.MYD88.TBL1XR1.BLIMP.ETV6.ZC3H12A"	"X9p21.3.DEL"	"COO..GCB.1.unclass.2.ABC.3.na."
"dlbcl_ricover_1060"	0.638261460579197	4	FALSE	3	0	0	0	2	0	0	4	0	0	0	0	0	0	0	1	0	3	0	0	0	0	"3"
"dlbcl_c_d_1163_nullpair"	0.66357357300325	4	TRUE	4	0	0	0	0	0	0	0	0	0	0	0	2	2	6	0	2	2	0	0	8	0	"3"
"dlbcl_ricover_850"	0.707525191203467	4	TRUE	4	0	0	0	0	1	0	7	0	0	0	0	0	0	2	0	0	2	2	1	6	0	"3"
"dlbcl_mc_f339_jps2"	0.71984034156541	4	TRUE	4	0	0	0	5	0	0	2	0	0	0	0	1	0	1	1	0	4	0	0	4	0	"3"
"dlbcl_ricover_478"	0.724173865713647	4	FALSE	1	0	0	2	0	0	0	6	0	0	0	0	0	0	0	1	0	4	2	0	2	0	"2"
"dlbcl_ricover_467"	0.74374945310143	4	TRUE	4	3	0	0	3	0	3	12	3	0	2	0	0	0	0	2	0	8	0	0	6	0	"3"
"dlbcl_ricover_1106"	0.755862486396554	4	TRUE	4	0	0	0	0	0	0	5	0	0	0	0	4	0	8	2	2	8	0	0	6	0	"3"
"dlbcl_ls1683"	0.759548287385813	4	TRUE	4	0	0	0	0	0	0	6	2	0	2	0	0	2	2	2	0	6	0	1	2	0	"3"
"dlbcl_c_d_1140_nullpair"	0.759562473573878	4	TRUE	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	"3"
"dlbcl_c_d_1144_nullpair"	0.772862290016166	4	TRUE	4	0	0	0	0	0	0	1	2	0	0	0	1	2	3	1	0	3	0	0	4	0	"3"
"dlbcl_ricover_585"	0.785394325436389	4	TRUE	4	0	3	0	3	0	0	5	0	0	0	0	0	2	3	1	2	7	0	0	6	1	"3"
"dlbcl_ricover_773"	0.78925586638177	4	TRUE	4	0	0	0	0	0	0	4	0	0	4	0	0	0	0	1	2	3	0	0	4	0	"3"
"dlbcl_c_d_1120_nullpair"	0.800035355060125	4	TRUE	4	0	0	0	0	0	0	3	0	0	2	0	0	0	0	1	0	2	0	0	2	0	"3"
"dlbcl_ls4085"	0.809168303423977	4	TRUE	4	0	0	0	0	0	0	4	0	0	2	0	0	0	1	1	0	4	0	0	2	0	"3"
"dlbcl_mc_f089_mlb"	0.824674224098514	4	TRUE	4	0	0	0	0	0	0	1	0	0	0	0	2	0	2	0	0	4	0	0	0	0	"3"
"dlbcl_ricover_685"	0.838785028515173	4	TRUE	4	0	0	0	0	0	0	6	0	0	0	0	0	0	2	0	2	1	0	0	8	0	"1"
"dlbcl_ls2208"	0.846643329488884	4	TRUE	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	"3"
"dlbcl_c_d_1142_nullpair"	0.854585134357799	4	TRUE	4	0	0	0	0	0	0	3	1	0	0	0	0	2	2	2	0	6	0	0	0	0	"2"
"dlbcl_ricover_583"	0.857851788943054	4	TRUE	4	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	5	0	0	0	0	"3"
"dlbcl_ricover_173"	0.861629451334699	4	TRUE	4	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	2	0	0	0	6	0	"3"
"dlbcl_ricover_1248"	0.874496605106248	4	TRUE	4	0	3	2	0	0	0	6	0	0	0	0	0	2	2	2	2	9	0	0	4	0	"3"
"dlbcl_c_d_1104_nullpair"	0.921520254038404	4	TRUE	4	0	0	0	0	0	0	4	3	0	0	0	0	0	0	1	2	3	0	0	4	0	"3"
"dlbcl_ricover_712"	0.940092501317871	4	TRUE	4	0	0	0	0	0	0	2	0	0	0	0	2	0	2	1	0	5	0	0	2	0	"3"
"dlbcl_ricover_134"	0.9457132086366	4	TRUE	4	0	0	0	0	0	0	5	1	0	2	0	0	2	2	2	2	8	0	0	4	0	"3"
"dlbcl_ricover_215"	0.959515632985984	4	TRUE	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	"3"
"dlbcl_ricover_720"	0.968239336223887	4	TRUE	4	0	3	0	0	0	0	6	0	0	0	0	0	0	0	1	2	6	0	0	6	0	"3"
"dlbcl_ricover_417"	0.999421536252354	4	TRUE	4	3	0	0	0	0	0	4	0	0	0	0	0	0	0	1	2	3	0	0	6	0	"3"
"dlbcl_ricover_99"	0.999998706992161	4	TRUE	4	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	4	2	0	4	0	"3"
"dlbcl_ricover_1287"	0.999998788842059	4	TRUE	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	3	0	0	0	0	"3"
"dlbcl_ricover_216"	0.999999981785101	4	FALSE	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	"3"
"dlbcl_mc_f519_alt"	1	4	TRUE	4	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	5	0	0	2	1	"3"
"dlbcl_c_d_1125_nullpair"	1	4	TRUE	4	0	0	0	0	0	0	3	0	1	0	0	0	0	2	1	2	6	0	0	6	0	"3"
"dlbcl_ls1304"	1	4	TRUE	4	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	4	0	"3"
"dlbcl_ricover_704"	1	4	TRUE	4	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	2	0	"3"
"dlbcl_ls4054"	0.338998987160834	5	FALSE	3	0	0	0	0	0	0	3	0	0	0	0	0	2	2	0	0	0	0	0	0	1	"3"
"dlbcl_ricover_910"	0.388558432896266	5	FALSE	1	0	0	0	0	0	0	1	0	0	0	0	2	0	2	0	0	0	0	0	0	0	"3"
"dlbcl_ricover_1081"	0.414552123370626	5	TRUE	5	0	0	2	2	0	0	3	0	0	4	1	1	2	7	0	0	0	0	0	2	0	"1"
"dlbcl_mayo_dlbcl_234"	0.456075399473092	5	FALSE	2	0	0	2	0	0	0	2	0	0	4	2	4	2	6	0	0	0	0	2	4	0	"1"
"dlbcl_ricover_711"	0.474977796109086	5	TRUE	5	0	3	0	0	0	0	11	1	0	0	0	6	2	10	0	0	0	0	2	0	0	"1"
"dlbcl_ricover_1018"	0.530272890245023	5	TRUE	5	0	0	0	0	0	3	18	1	0	0	1	5	6	13	0	0	3	0	1	0	0	"3"
"dlbcl_mc_f139_ad"	0.544907478135376	5	FALSE	1	0	3	2	2	0	0	1	2	0	0	2	4	0	12	0	0	0	0	0	0	0	"3"
"dlbcl_ricover_597"	0.549994791408836	5	TRUE	5	0	0	0	0	0	0	4	1	0	0	0	8	2	12	1	2	2	0	0	6	0	"3"
"dlbcl_ricover_197"	0.569719259050709	5	FALSE	2	0	0	0	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0	0	"1"
"dlbcl_bwh_dlbcl64"	0.596811452693936	5	FALSE	1	0	3	0	0	0	0	8	0	0	2	0	6	4	10	0	0	0	0	2	0	0	"1"
"dlbcl_ricover_617"	0.599643282926493	5	TRUE	5	0	0	2	2	1	0	5	0	0	0	2	4	2	10	0	0	0	0	2	0	0	"1"
"dlbcl_c_d_1109_nullpair"	0.604606414606649	5	TRUE	5	0	0	0	4	0	0	1	0	0	0	0	5	2	8	0	0	0	0	1	0	0	"3"
"dlbcl_mayo_dlbcl_3653"	0.617284859839276	5	TRUE	5	0	0	0	0	0	0	1	0	0	0	0	0	3	3	0	0	0	0	0	2	0	"1"
"dlbcl_ls2154"	0.653938915827199	5	FALSE	1	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	"3"
"dlbcl_c_d_1153_nullpair"	0.677285368224813	5	TRUE	5	0	0	0	0	0	0	7	0	0	0	0	8	2	10	1	0	2	0	0	0	0	"2"
"dlbcl_ls155"	0.692563009212202	5	FALSE	2	0	0	0	0	0	0	0	0	5	2	2	4	4	10	0	0	0	0	0	0	0	"1"
"dlbcl_ls3387"	0.719721021420186	5	TRUE	5	0	0	1	2	0	0	2	0	5	2	4	10	4	16	0	0	0	0	0	0	0	"1"
"dlbcl_ls951"	0.724699038559823	5	TRUE	5	0	0	0	2	1	0	5	0	0	0	1	0	6	6	0	0	0	0	1	0	0	"1"
