"maxVal"	"cluster"	"correct"	"trueCluster"	"B2M.CD70.PD1.FAS.COM"	"BCL2.COMP"	"TP53.BIALLELIC"	"PI3K.MOD"	"BLC10.NOTCH2.A20.SPEN"	"CHROM.MOD.ENZYMES"	"HIST.COMP"	"NFKBALT.RASALT.JAK.STAT.ALT.RHOA.SGK1.KLH6.CD58.CD83"	"SUMC4.MUT"	"MYD88.L265"	"MYD88.OTHER"	"CD79B.MYD88.TBL1XR1.BLIMP.ETV6.ZC3H12A"	"SV.TP63"	"SV.BCL6"	"X21Q.AMP"	"SUM.CNAS.C2"	"SUMCNAS.C5"	"X2P16.1.AMP"	"X9P21.3.DEL"	"X18Q.AMP"
"dlbcl_ricover_1235"	0.889764487743378	3	TRUE	3	0	5	3	1	2	3	0	0	2	0	0	0	0	0	2	18	1	2	0	1
"dlbcl_ricover_126"	0.894865810871124	3	TRUE	3	0	5	3	2	0	2	0	0	0	0	0	0	0	0	2	17	1	2	1	0
"dlbcl_ls3204"	0.907456159591675	3	TRUE	3	2	0	0	0	0	0	2	2	4	0	0	0	0	0	1	9	0	1	0	0
"dlbcl_ls146"	0.916712701320648	3	TRUE	3	0	0	3	1	2	0	0	2	2	0	0	0	0	0	1	18	5	2	0	1
"dfcidl003_dt"	0.921184301376343	3	TRUE	3	0	3	3	3	0	2	0	2	2	0	0	0	0	3	1	21	1	2	1	0
"dlbcl_ls2258"	0.922961413860321	3	TRUE	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0
"dlbcl_ricover_325"	0.930194497108459	3	TRUE	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	7	1	1	1	0
"dlbcl_mc_f739_ama3"	0.935674846172333	3	TRUE	3	0	5	3	2	0	4	3	2	5	0	0	0	0	0	2	21	2	0	1	1
"dlbcl_ricover_288"	0.938964307308197	3	TRUE	3	0	0	2	0	0	0	2	0	3	0	0	0	0	0	1	16	1	2	1	0
"dlbcl_ricover_253"	0.939813852310181	3	TRUE	3	0	0	3	0	0	2	0	0	0	0	0	0	0	3	0	24	1	1	1	0
"dlbcl_mc_f959_erm"	0.942303061485291	3	TRUE	3	3	0	2	0	0	2	2	0	2	2	0	2	0	3	0	12	6	2	0	2
"dlbcl_ricover_174"	0.942784667015076	3	TRUE	3	2	0	3	1	2	0	0	0	0	0	0	0	0	0	1	18	1	0	0	0
